pp_boiler,distance,year,automobile,bus,truck,motorcycle,all_mv,num_pp_50_mi,num_pp_100_mi,num_pp_150_mi,fuel_Fossil_fuel,fuel_Gas,fuel_Hydro,fuel_Nuclear,fuel_Oil,fuel_Sun,fuel_Wind,dir_NW,dir_SE,dir_SW,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,state_California,state_Colorado,state_Nevada,state_New Mexico,state_Utah,fuel,state,lat,long
1.0,117.05034320099968,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.2253,-114.8783
1.0,140.31633100568004,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,35.799798,-114.98173
0.0,136.10516872512687,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.087426,-115.175381
0.0,136.16864247927535,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.088611,-115.177778
0.0,111.65009957014372,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.408,-114.908
0.0,111.65009957014372,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.408,-114.908
0.0,127.46548487710069,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.031616,-114.929399
2.0,130.61464978218874,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.0417,-115.0117
2.0,114.21121363698532,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.4078,-114.9606
0.0,135.93050495717924,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.342536,-115.358069
